"source","target","value"
1908,1980,0
1900,1980,0
1912,1980,0.00161812297734628
1906,1980,0.0040983606557377
1904,1980,0
1896,1980,0.0285714285714286
2004,1920,0.000155327741534638
2008,1920,0
1992,1920,0
1996,1920,0
1932,1920,0.0243204577968526
1936,1920,0.0285714285714286
1948,1920,0.0037037037037037
1928,1920,0.13472485768501
1952,1920,0.00161899622234215
1960,1920,0.000442282176028306
1968,1920,0.000373273609555804
1924,1920,0.481785063752277
1964,1920,0.000419639110365086
2012,1920,0
1984,1920,0
1988,1920,0
2016,1920,0
2000,1920,0
1972,1920,0
1976,1920,0.000359453630481668
1956,1920,0.000623052959501558
1980,1920,0
1920,1920,1
1908,1920,0.224014336917563
1900,1920,0.12621359223301
1912,1920,0.415857605177994
1906,1920,0.110655737704918
1904,1920,0
1896,1920,0.0571428571428571
2004,1908,0
2008,1908,0
1992,1908,0
1996,1908,0.000174764068507515
1932,1908,0.00286123032904149
1936,1908,0.0021978021978022
1948,1908,0.00222222222222222
1928,1908,0.0180265654648956
1952,1908,0
1960,1908,0.000884564352056612
1968,1908,0
1924,1908,0.0555555555555556
1964,1908,0.000839278220730172
2012,1908,0
1984,1908,0
1988,1908,0.000242306760358614
2016,1908,0
2000,1908,0.00016246953696182
1972,1908,0.000322684737011939
1976,1908,0.000718907260963336
1956,1908,0.000623052959501558
1980,1908,0
1920,1908,0.155086848635236
1908,1908,1
1900,1908,0.388349514563107
1912,1908,0.559870550161812
1906,1908,0.672131147540984
1904,1908,0.464285714285714
1896,1908,0.114285714285714
2004,1900,0
2008,1900,0
1992,1900,0
1996,1900,0
1932,1900,0
1936,1900,0.0010989010989011
1948,1900,0.000740740740740741
1928,1900,0.00094876660341556
1952,1900,0
1960,1900,0
1968,1900,0
1924,1900,0.00728597449908925
1964,1900,0
2012,1900,0
1984,1900,0
1988,1900,0
2016,1900,0
2000,1900,0
1972,1900,0
1976,1900,0
1956,1900,0
1980,1900,0
1920,1900,0.0161290322580645
1908,1900,0.0716845878136201
1900,1900,1
1912,1900,0.0210355987055016
